TRADER,TRADE_COUNT,PERP_TRADE_COUNT,SPOT_TRADE_COUNT,SHORT_COUNT,LONG_COUNT,AVG_USD_TRADE_SIZE,TOTAL_USD_VOLUME,TOTAL_FEE_AMOUNT,DEFI_INTERACTIONS,Cluster
0xcc3a89d7c4c5e645c9f01c87224d4dec8f1dab8a,3,5,0,1,4,1558.143536345,7790.717681727,1.695588927,0,0
0xe6bb77845476d076f9562a133301a05762144eaa,2,3,0,2,1,2598.274306267,7794.8229188,0.7830812,0,0
0xc1dafed00aaeb2a3d17c607d36de02069bce6e22,2,4,0,2,2,1949.56924242,7798.276969679,1.559817679,0,0
0x207bb8627d0864b1c3f33ecfc003ae5f6e043327,2,3,0,2,1,2614.485455507,7843.456366522,1.568854522,0,0
0xa5eabc3fe25c6b129c76ddc74fe4ca29b7dfc127,2,4,0,2,2,1961.537145074,7846.148580297,1.569387097,0,0
0x416505c7c9d67a8bbc28140e3527fda995dc7e77,2,4,0,3,1,1964.87890355,7859.5156142,0.7893858,0,0
0x69ca03b85c16bb41f4a1e2f0e354863aa2c78114,2,3,0,2,1,2619.857867533,7859.5736026,0.7893974,0,0
0xec98b511d386fcb84af223778ab424382af3fc00,2,4,0,3,1,1964.9731347,7859.8925388,0.7894612,0,0
0x26087ab37d14574f888c575d54052bc8ac19f20e,2,3,0,2,1,2620.234792133,7860.7043764,0.7896236,0,0
0x5a3dac6cb61a7dbc7cfdba01cdc2dfb02eb1bc36,2,5,0,3,2,1577.45806111,7887.290305552,1.577615512,0,0
0x1b792033ed39dc15ff0a9c7a77ee77f135c250e4,2,3,0,2,1,2631.11522595,7893.345677851,1.578827451,0,0
0x2922a15875d9d6abaf7b2bcf681e0171c741526c,2,2,0,1,1,3960.349374399,7920.698748799,1.584238799,0,0
0x48b5f07bd641d1185bdab437764e64dd6a401d80,2,2,0,1,1,3967.914977364,7935.829954728,1.587326728,0,0
0xbadb45228d678507fcca1c075028db530721129a,2,3,0,1,2,2661.244345931,7983.733037794,1.596906594,0,0
0x2fbcfa2bb2836ab10d9d4cd86fe4b08b681fd88a,2,4,0,2,2,2003.718232497,8014.872929987,1.603135347,0,0
0x24a3059f93c80d0ebe25a396c0eddb0ffd39d46d,2,4,0,1,3,2010.1549271,8040.6197084,1.6082872,0,0
0x87d815304671dc45cb4a72ba83af975263f47c44,2,7,0,2,5,1150.360873218,8052.526112528,1.610666528,0,0
0xfb3ca3a01c358853eddc879f3b913c536ccaeebd,4,5,0,3,2,1614.837675468,8074.188377338,1.615001338,0,0
0x43d669fef45ddc14df6affcfc0271ce16f283844,21,25,0,14,11,323.778181926,8094.454548144,1.965887744,1,2
0x3125b0e7ab31a8ae460c01d919f3153d30bd1063,2,6,0,2,4,1349.192773731,8095.156642384,1.619194384,0,0
0x41a2b45269d3d8597930e51e1fbeb6cdac7413ae,2,3,0,2,1,2702.518381297,8107.55514389,1.63575189,0,0
0x9738ba6fd476a67c581e97a3c8708175feafd492,2,5,0,2,3,1621.944564339,8109.722821693,1.622106493,0,0
0xcf3b2b9f8449c5381b756d4a4a0f161acc03f3fa,2,3,0,1,2,2706.330467779,8118.991403336,1.623960936,0,0
0x5c5240da664684736ea2f703c4cbbc2721766fea,2,4,0,2,2,2031.218593138,8124.874372551,1.625141751,0,0
0x0a41fe7f9bb701a4295d47b6a5805d13b54a7e0f,3,3,0,1,2,2710.158052384,8130.474157153,1.665369953,0,0
0x48b385fb30e73b94e92f7bf3b7d46717a101ef95,2,4,0,2,2,2033.755220276,8135.020881105,1.627167905,0,0
0xa1577e3288a791b3fbef473781d7ed42664f973a,2,2,0,1,1,4080.647707032,8161.295414064,1.632423344,0,0
0xf182172498355b10c59457246f1a1ef393a3630b,31,31,0,13,18,263.844044349,8179.165374831,1.674938831,0,0
0x3150c8a6de379331caac2054faec4eb656c7227d,3,3,0,1,2,2728.369155222,8185.107465665,1.637180865,0,0
0x4c67770c33fe13cf6ef19ab24cc430140fc6184a,4,18,0,11,7,5728.802156589,103118.4388186,10.3741814,0,0
0x02e51d6ce16201a28eaa7de9c8c4bfed25b4b081,2,7,0,3,4,15090.453866026,105633.177062184,21.128781384,0,0
0x724d466e36f62b4557612c2f692411db0c7535be,2,13,0,8,5,8160.003389068,106080.044057886,21.218302286,0,0
0xcf1c4fdc4291e0b511d0fabf0bf27b9f56ee4b17,21,0,57,5,52,1875.382340058,106896.793383326,12.940874126,0,0
0x696dc7ea3c3e7fe0c15325785c4e11d251c95d93,1,15,0,0,15,7133.812129092,107007.181936387,21.401436387,0,0
0xb26b4a4bba425ac28224cfdd45b4bd00c886cc33,37,61,0,33,28,1760.542137286,107393.070374417,21.480793577,0,0
0x15ed8fa075634840676fd5c4c1d723f6a1baa13b,2,18,0,11,7,6108.109717878,109945.9749218,11.0160782,0,0
0x6ec3bfbde84fe2ba140ae8645cf2c05858e01ad2,12,25,0,5,20,4398.663205657,109966.580141415,22.257009415,0,0
0xf90ac9a63549835345d47ece631ed6b403f83984,40,0,118,5,113,934.048520374,110217.725404145,21.746048145,0,0
0x5e22f4c4dc429cb9e6f2cd8f78c338315a6e2e34,26,42,0,20,22,2644.024609706,111049.033607664,22.212028064,0,0
0xb6c0a56351a3481c9b7536cc807104194662b444,109,116,0,60,56,959.84933541,111342.522907528,13.982368528,0,0
0x22565def3a8e5222bd223c07c76c6b3e5a8925dd,9,27,0,17,10,4142.825793459,111856.296423396,22.373534596,0,0
0xb553eb96e8f3c7b05741c8701eea7eaaf1bd6a25,41,75,0,75,0,1515.978549457,113698.3912093,1.8617907,0,0
0x0aef99411c664cc792080b9c1c107c04d6a62b3d,2,15,0,5,10,7715.144501995,115727.167529932,23.147787932,0,0
0x45cfd41a467e7ee1b6189053ffdf6433df2923b6,2,7,0,4,3,16556.6019352,115896.2135464,11.8544536,0,0
0x680c3ee150a2e63c129f449df01f7b60fb03ca1c,7,25,1,13,13,4468.664981399,116185.289516363,12.306117963,1,2
0xd96a7f1355e092998121b40c37b37603a3d9cd3f,20,40,0,19,21,2909.828644349,116393.145773973,23.280955173,0,0
0xc1503740be291c3370af3bfb0216a9e4da770aee,1,9,0,0,9,12984.706719122,116862.360472094,23.372472094,0,0
0x4ee91345a0fbc52924bd16f80213a10e81bf7834,2,5,0,4,1,23405.081166185,117025.405830925,23.407419325,0,0
0xacee3c69777cfc024e2b10566467d77b5ad41740,2,16,0,10,6,7402.428697133,118438.859154129,23.690138529,0,0
0x547ede426526678fa8d54b8f846cada3d0447ad1,9,28,0,7,21,4233.63168113,118541.687071643,23.818363243,0,0
0x3be960f410100916b49c41bb8fc52eb5511ef307,98,119,0,63,56,997.166741861,118662.842281463,24.190544183,1,2
0xe39c26acbc4d1df4929ca89356030451ea4b2755,15,24,0,13,11,4949.581970894,118789.967301456,23.760262256,0,0
0x112c00995158c3573e481700bd1631413d647249,2,5,0,1,4,23854.428798817,119272.143994084,23.856844884,0,0
0xd351499835a0bbc21e4e48e3aa68f75d159a2129,6,11,0,5,6,10939.855515262,120338.410667877,24.070099077,0,0
0x31a4f0394e5f8f558a96c1e067426af47ca43743,6,17,0,9,8,7103.579888067,120760.858097137,24.415269537,0,0
0xa550350d81856473e510613f1faca252ced72531,11,28,0,6,22,4319.696471759,120951.501209261,21.875896061,0,0
0xea7abb69c7dd79067d7a6e8fff53867ae9eb4453,23,43,0,23,20,2819.162913512,121224.005281021,23.750930221,0,0
0xd24beed2b4b27597e02e03ccbc2b2180f20f8d56,2,8,0,1,7,15413.465056406,123307.720451246,24.664006846,0,0
0xd2a8c39a698fdebffbc0e8c8415444f9d8c8b623,3,9,0,4,5,13704.314128838,123338.82715954,24.67023794,0,0
0xd6f500daba6f42cfb46eaf3d26e8d3baaf735bfd,46,62,1,0,63,1959.728462702,123462.89315023,27.15515023,0,0
0xf65343a0af34a8d8b61eba4df6e11178629c8c7e,2,17,0,9,8,7273.923646173,123656.701984935,24.733860335,0,0
0xd333bc5c9670c9ceb18f9a2cf02c6e86807a8227,24,55,0,28,27,2269.090568218,124799.981251967,24.962516887,1,2
0xaf0a98402e92286968021505feb7ff72225e0cf7,3,10,0,4,6,12484.894864899,124848.948648994,24.972295394,0,0
0x6ebc33a64fd482d0792fde1d83d63a781d1c2682,5,20,0,9,11,6293.136199287,125862.723985745,25.258461745,0,0
0xeb7d858863b9cd10b7dd705f7a1d448f9069d7ed,3,9,0,4,5,13999.356694907,125994.210254162,25.201367362,0,0
0x9b3dbc9d3b2f1cb62c7c62c30342b2c5c00f5249,2,8,0,3,5,15958.1935502,127665.5484016,12.9235984,0,0
0x8650173ae1e2166f5c7dc910e38968d4a45df81e,2,8,0,4,4,16000.657115446,128005.256923569,25.602767169,0,0
0x5cee202b51518b0e4675bbe129f6c9776f4417df,20,49,0,25,24,2619.371580063,128349.207423084,25.672412084,0,0
0xca29d75a287d0945c16c7b1a0b3369a3fe5461af,5,15,0,3,12,8569.46441762,128541.966264304,25.970776704,0,0
0x978f8c2e2128e94757dce3c430ed7be5d87b040d,2,9,0,0,9,14308.874774955,128779.872974595,25.755974595,0,0
